,0
0,srishtyranjan huh peopl call modi chor chaiwala sexist make spread word dalit everyon start point toward cast shame spread hate base cast mention dalit anywher
1,ttindia sanghi creat live hell jammu kashmir ladakh
2,keeppeac punjabiteam theinvi nikhil indi butterfli humanekarr jessicakaur mani articl mani anti modi media cover news
3,avaneesh abhish modi destroy cultur
4,togeth fight save farm hand corpor modi repeal deal farmer sakib hassan http co ium wj buj
5,pm modi godi media rubika liyaquat anjana kangana amit shah b http co txpbubym c via youtub yogi killer polic serv protect extort torment tortur kill oppress persecut public ask anyon state
6,ushanirmala laxman xy women kiranshaw anathema nation spread fake news indian variant wahun viru mix hiv viru armi pakistani spread india attack us modi ji
7,modi rule democraci dead economi dead health ministri dead foreign affair ministri dead peopl india either dead live dead kafanchorbjp
8,pinakasena pmo admin handl account modi time spend social media work hr nation
9,spiritofcongr kibavenisha pakistani friend argu breed bhakt use quot india progress open exampl follow even disappoint modi done believ wors zia pakistan gener come suffer
10,vishaldabhi ye bro peopl forget thing start lick modi ass
11,narendra modi pmoindia singl handedli destroy live peopl india alreadi join leagu idi amin http co vhm v yni http co dl arbjaxx
12,still strong fight evil modi modiresign msp http co u veaz dv
13,srsekharbjp dog sekar action act black day nation modi resign immedi
14,livebaittrap veenad ur call northern cow belt one els give fuck modi get fact right
15,modi angri twitter http co bxwb wceh
16,modi ji leader world cri mishandl covid rest resign
17,modi order enough vaccin amp prepar covid thousand indian die gasp breath hundr bodi float ganga buri shallow grave bank eaten dog mad yogendrayadav think altern modi
18,aajtak fraud took place congress govern fraudul ran away get scrutin bjp govern still liter idiot find difficult understand simpl thing inka modi kya bhagwan bhi kuch nahi kar sakta
19,swami janpratinidhi co conspir modi loot legal gang middl class indian karma bitch
20,sanjayg almost struggl one meal cant read write food surplu literaci democraci progress india india progress slowli due variou reason modi h vs hatr grow economi slower bangladesh
21,sonaliranad leader era openli critic never enemi matv maanv histori twist use like poison dagger right destroy imag patel shastri bose aliv would taken modi say stupid thing
22,beyond doubt exit altern modi ji prime minist http co fckn p ku
